Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
49247150,Tell Me How to Be,Neel Patel,"Patel, Neel",,"=""1250184975""","=""9781250184979""",0,4.16,Flatiron Books,Hardcover,336,2021,2021,,2024/07/22,to-read,to-read (#642),to-read,,,,0,0,,Fiction|160;Lgbtq|77;Lgbt|54;Contemporary|50;Queer|40;Literary Fiction|25;2021 Releases|25;Giveaways|24;Lgbtqia|24;South Asian|23;Romance|22;Audiobooks|17;Adult|17,5019
3097601,Suicide Notes,Michael Thomas Ford,"Ford, Michael Thomas",,"=""0060737557""","=""9780060737559""",0,3.81,HarperCollins,Paperback,295,2008,2008,,2024/07/22,to-read,to-read (#641),to-read,,,,0,0,,Young Adult|642;Mental Health|467;Contemporary|340;Ya|318;Fiction|310;Lgbt|300;Lgbtq|271;Books I Own|245;Mental Illness|148;To Buy|128;Realistic Fiction|115;Lgbtqia|103;Want To Buy|102;Suicide|102;Queer|88;Psychology|73,47666
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",0,3.99,New Directions,Paperback,177,1958,1948,,2024/07/22,to-read,to-read (#640),to-read,,,,0,0,,Fiction|2391;Japanese Literature|1006;Japanese|970;Japan|923;Japanese Lit|607;Books I Own|556;Classic|349;Literature|317;Novels|306;To Buy|266;Translated|258;Asian Literature|254;Literary Fiction|252,172323
56683041,Shadeslinger (The Ripple System #1),Kyle Kirrin,"Kirrin, Kyle",,"=""""","=""""",0,4.36, Portal Books,Kindle Edition,646,2021,2021,,2022/08/27,currently-reading,currently-reading (#4),currently-reading,,,,1,0,,Litrpg|177;Fantasy|77;Audible|21,3677
7779696,"Son of Hamas: A Gripping Account of Terror, Betrayal, Political Intrigue, and Unthinkable Choices",Mosab Hassan Yousef,"Yousef, Mosab Hassan","مصعب حسن يوسف, Ron Brackin","=""1414333072""","=""9781414333076""",0,4.22,SaltRiver,Hardcover,265,2010,,,2024/07/14,currently-reading,currently-reading (#3),currently-reading,,,,1,0,,Non Fiction|286;Biography|200;History|130;Nonfiction|130;Middle East|113;Memoir|104;Politics|101;Christian|64;Israel|60;Islam|55;Religion|50;Biographies|46;Autobiography|38;Audiobooks|37;Memoirs|37;Biography Memoir|35;Book Club|29,14549
52300107,Caffeine: How Caffeine Created the Modern World,Michael Pollan,"Pollan, Michael",,"=""""","=""""",2,3.72,Audible Original,Audible Audio,2,2020,2020,2024/07/21,2024/07/21,,,read,"The only thing I learned in this was that I want to read ""Why We Sleep"" by Matthew Walker.<br/><br/>Meandering, uninspired, lacking depth, and too self interested.",,,1,0,"2024-07-21,2024-07-21",Non Fiction|624;Nonfiction|340;Audible|332;Audiobooks|330;History|252;Science|225;Food|174;Audio|160;Health|101;Audio Books|77,17923
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.38,Scribner,Hardcover,368,2017,2017,,2024/07/21,to-read,to-read (#639),to-read,,,,0,0,,Non Fiction|6254;Science|3651;Nonfiction|2383;Health|2282;Psychology|1659;Self Help|1283,192174
29353087,The Science of Mindfulness: A Research-Based Path to Well-Being,Ronald D. Siegel,"Siegel, Ronald D.",,"=""1598035649""","=""9781598035643""",0,4.24,The Teaching Company,Audio CD,6,2014,2014,,2024/03/10,abandoned,abandoned (#53),abandoned,,,,1,0,,Psychology|55;Non Fiction|49;Audible|48;Science|33;Nonfiction|33;Great Courses|30;Mindfulness|26;Self Help|21;Health|21;Audiobooks|20;The Great Courses|17;Meditation|17;Audio|16;Self Improvement|14;Philosophy|13;Spirituality|10;Personal Development|10;Audio Book|10;Buddhism|7;Audio Books|7,945
29544418,Dark Money: How a Secretive Group of Billionaires is Trying to Buy Political Control in the US,Jane Mayer,"Mayer, Jane",,"=""1925307808""","=""9781925307801""",0,4.30,Scribe,Kindle Edition,576,2016,2016,,2023/09/21,to-read,to-read (#638),to-read,,,,1,0,,Non Fiction|1470;Politics|1437;Nonfiction|818;History|647;Economics|315;Business|172,25519
43190272,"To Be Taught, If Fortunate",Becky  Chambers,"Chambers, Becky",,"=""0062936018""","=""9780062936011""",0,4.20,Harper Voyager,Paperback,153,2019,2019,,2023/04/29,to-read,to-read (#637),to-read,,,,1,0,,Sci Fi|2526;Science Fiction|2176;Fiction|821;Novella|624;Scifi|534;Queer|303;Lgbtq|283,45469
