Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60111529,"The Primal Hunter (The Primal Hunter, #1)",Zogarth,"Zogarth, Zogarth",,"=""""","=""""",0,4.29,Aethon Books,Kindle Edition,716,2022,2022,,2024/03/28,currently-reading,currently-reading (#6),currently-reading,,,,1,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",5,4.62,St. Martin's Press,Hardcover,440,2015,2015,2024/04/01,2020/06/29,,,read,,,,1,0
29093292,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""""","=""""",0,4.37,Portfolio,Hardcover,416,2016,2016,,2024/04/01,to-read,to-read (#483),to-read,,,,0,0
614130,Ten Philosophical Mistakes,Mortimer J. Adler,"Adler, Mortimer J.",,"=""068481868X""","=""9780684818689""",0,3.87,Touchstone,Paperback,200,1996,1985,,2024/03/28,currently-reading,currently-reading (#7),currently-reading,,,,1,0
2767,A People’s History of the United States,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",0,4.08,Harper Perennial,Paperback,729,1995,1980,,2024/03/28,to-read,to-read (#482),to-read,,,,0,0
200607509,"Defiance of the Fall 12 (Defiance of the Fall, #12)",TheFirstDefier,"TheFirstDefier, TheFirstDefier",J.F. Brink,"=""""","=""""",3,4.55,Aethon Books,Kindle Edition,702,2024,2024,2024/03/28,2024/01/22,,,read,"I enjoy cultivation but it needs balanced with plot, character development, world building etc. Those all felt lacking, excluding a few great scenes. ",,,1,0
52079565,"Science Fictions: How Fraud, Bias, Incompetence, and Hype Undermine the Search for Truth",Stuart Ritchie,"Ritchie, Stuart",,"=""1250222699""","=""9781250222695""",0,4.38,Metropolitan Books,Hardcover,368,2020,2020,,2024/03/27,to-read,to-read (#481),to-read,,,,0,0
56769575,Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Roach, Mary",,"=""0393881725""","=""9780393881721""",0,4.06,W. W. Norton & Company,Paperback,320,2021,2003,,2024/03/27,to-read,to-read (#480),to-read,,,,0,0
25451852,"Dawn of Wonder (The Wakening, #1)",Jonathan Renshaw,"Renshaw, Jonathan",,"=""""","=""""",0,4.35,Jonathan Renshaw,Kindle Edition,715,2015,2015,,2024/03/26,to-read,to-read (#479),to-read,,,,0,0
22171697,"Fear the Sky (The Fear Saga, #1)",Stephen     Moss,"Moss, Stephen",,"=""""","=""""",0,4.08,Stephen Moss,Kindle Edition,394,2014,2014,,2024/03/25,to-read,to-read (#478),to-read,,,,0,0
195018071,"Defiance of the Fall 11 (Defiance of the Fall, #11)",TheFirstDefier,"TheFirstDefier, TheFirstDefier",J.F. Brink,"=""""","=""""",4,4.59,Aethon Books,Kindle Edition,662,2023,2023,2024/03/24,2024/01/22,,,read,,,,1,0
34298222,"The Gender Games: The Problem with Men and Women, from Someone Who Has Been Both",Juno  Dawson,"Dawson, Juno",,"=""1473648580""","=""9781473648586""",4,4.10,Two Roads,Hardcover,368,2017,2017,2024/03/19,2024/03/13,,,read,The writing wasn't the best but the content was enlightening.,,,1,0
4989,The Red Tent,Anita Diamant,"Diamant, Anita",,"=""0312353766""","=""9780312353766""",0,4.20,St. Martin's Press,Hardcover,324,1997,1997,,2024/03/18,to-read,to-read (#477),to-read,,,,0,0
134582757,"Defiance of the Fall 10 (Defiance of the Fall, #10)",TheFirstDefier,"TheFirstDefier, TheFirstDefier",J.F. Brink,"=""""","=""""",4,4.55,Aethon Books,Kindle Edition,564,2023,2023,2024/03/18,2024/01/22,,,read,,,,1,0
65213543,"Bookshops & Bonedust (Legends & Lattes, #0)",Travis  Baldree,"Baldree, Travis",,"=""1250886104""","=""9781250886101""",0,4.24,Tor Trade,Paperback,352,2023,2023,,2024/03/17,to-read,to-read (#476),to-read,,,,0,0
7785194,The Moral Landscape: How Science Can Determine Human Values,Sam Harris,"Harris, Sam",,"=""1439171211""","=""9781439171219""",0,3.90,Free Press,Hardcover,291,2010,2010,,2024/03/14,currently-reading,currently-reading (#5),currently-reading,,,,1,0
17125,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Ronald Hingley, H.T. Willetts, Leopold Labedz, Max Hayward","=""""","=""""",0,3.98,"Farrar, Straus and Giroux",Paperback,182,2005,1962,,2021/08/28,to-read,to-read (#178),to-read,,,,0,0
1781546,One step at a time: Buddhist meditation for absolute beginners,phra-peter-pannapadipo,"phra-peter-pannapadipo, phra-peter-pannapadipo",,"=""9742020302""","=""9789742020309""",3,2.92,Bangkok Writers,Paperback,,1999,,2024/03/14,2024/03/13,,,read,"Some useful tips and insights, but perhaps too basic. Much of the non-Buddhist tips are somewhat obvious for anyone with personal experience with mindfulness, meditation, prayer or intentional thinking.<br/><br/>The notes I took were about two pages, which is about all of the useful parts of this book. This may be different for you, more or less utility, based on your own experience with mindfulness and meditation.",,,1,0
64369,Mindfulness in Plain English,Henepola Gunaratana,"Gunaratana, Henepola",Lauri Porceddu,"=""0861713214""","=""9780861713219""",0,4.15,Wisdom Publications,Paperback,208,1996,1992,,2024/03/13,to-read,to-read (#475),to-read,,,,0,0
142235363,"Defiance of the Fall 9 (Defiance of the Fall, #9)",TheFirstDefier,"TheFirstDefier, TheFirstDefier",J.F. Brink,"=""""","=""""",4,4.50,Aethon Books,Kindle Edition,771,2023,2023,2024/03/13,2024/01/22,,,read,,,,1,0
204736844,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239938""","=""9780593239933""",0,4.28,Crown,Paperback,320,2024,2023,,2024/03/11,to-read,to-read (#474),to-read,,,,0,0
12870068,The Etymologicon: A Circular Stroll through the Hidden Connections of the English Language,Mark Forsyth,"Forsyth, Mark",,"=""""","=""""",5,4.23,Icon Books,Hardcover,252,2011,2011,2024/03/10,2024/03/10,,,read,"Quite fun and not at all what I expected. Mark Forsyth's wit comes across so well, which is surprising since I expected this to be an academically interesting but generally dull subject. A great read. ",,,1,0
29353087,The Science of Mindfulness: A Research-Based Path to Well-Being,Ronald D. Siegel,"Siegel, Ronald D.",,"=""1598035649""","=""9781598035643""",0,4.24,The Teaching Company,Audio CD,6,2014,2014,,2024/03/10,currently-reading,currently-reading (#4),currently-reading,,,,1,0
35414514,We Were the Lucky Ones,Georgia Hunter,"Hunter, Georgia",,"=""0399563091""","=""9780399563096""",0,4.41,Penguin Books,Paperback,416,2018,2017,,2024/03/10,to-read,to-read (#473),to-read,,,,0,0
193544861,When She Was Me,Marlee Bush,"Bush, Marlee",,"=""172828953X""","=""9781728289533""",0,3.86,Poisoned Pen Press,Paperback,400,2024,2024,,2024/03/09,to-read,to-read (#472),to-read,,,,0,0
208156233,Walk of Shame,Avery Flynn,"Flynn, Avery",,"=""""","=""9798879142372""",0,3.95,Independently published,Paperback,330,2024,,,2024/03/09,to-read,to-read (#471),to-read,,,,0,0
199532188,"The Amethyst Kingdom (The Five Crowns of Okrith, #5)",A.K. Mulford,"Mulford, A.K.",,"=""0063291789""","=""9780063291782""",0,4.68,Harper Voyager,Paperback,352,2024,2024,,2024/03/09,to-read,to-read (#470),to-read,,,,0,0
195791689,Hum,Helen          Phillips,"Phillips, Helen",,"=""1668008831""","=""9781668008836""",0,4.20,S&S/ Marysue Rucci Books,Hardcover,272,2024,2024,,2024/03/09,to-read,to-read (#469),to-read,,,,0,0
197036035,That Night in the Library,Eva Jurczyk,"Jurczyk, Eva",,"=""1728295696""","=""9781728295695""",0,3.09,Poisoned Pen Press,Paperback,288,2024,2024,,2024/03/09,to-read,to-read (#468),to-read,,,,0,0
199534723,"The Gilded Crown (The Raven's Trade, #1)",Marianne  Gordon,"Gordon, Marianne",,"=""0063248778""","=""9780063248779""",0,3.70,Harper Voyager,Paperback,384,2024,2023,,2024/03/09,to-read,to-read (#467),to-read,,,,0,0
199793668,The Dollmakers,Lynn Buchanan,"Buchanan, Lynn",,"=""0063308266""","=""9780063308268""",0,4.38,Harper Voyager,Paperback,400,2024,2024,,2024/03/09,to-read,to-read (#466),to-read,,,,0,0
60751621,The House of Spark,Luminita LaFlash,"LaFlash, Luminita",,"=""0578254611""","=""9780578254616""",0,4.47,Luminita LaFlash,Paperback,166,2022,,,2024/03/09,to-read,to-read (#465),to-read,,,,0,0
205205475,How to Work with Anyone,Raluca Graebner,"Graebner, Raluca",,"=""""","=""""",2,3.38,,Audible Audio,,,,2024/03/09,2024/03/09,,,read,"I suppose the lessons are insightful if you take them away and ponder on them for your personal situation, but there's nothing provided that isn't immediately obvious from living in a society with other people that you sometimes converse with. ",,,1,0
